SALE_ID,SALE_TIME,ITEM_ID,ITEM_NAME,VENDOR_ID,POS_ID,EMPLOYEE_ID,UNITS_SOLD,GROSS_SALES,NET_SALES,DISCOUNTS,DISCOUNT_NAME
S00000000,2024-01-16 17:24:00,I006,WATER,V001,P42,E299,2,10.0,10.0,0.0,
S00000001,2024-02-15 18:41:00,I005,SODA,V011,P16,E129,1,6.0,6.0,0.0,
S00000001,2024-02-15 18:41:00,I002,CHEESEBURGER,V011,P16,E129,1,12.5,12.5,0.0,
S00000001,2024-02-15 18:41:00,I001,HOT DOG,V011,P16,E129,1,8.5,8.5,0.0,
S00000001,2024-02-15 18:41:00,I010,CHICKEN TENDERS,V011,P16,E129,1,13.5,11.5,2.0,PROMO_2_OFF
S00000002,2024-02-03 18:39:00,I002,CHEESEBURGER,V011,P36,E331,2,25.0,25.0,0.0,
S00000003,2024-01-25 22:51:00,I009,COCKTAIL,V003,P16,E204,1,18.0,18.0,0.0,
S00000003,2024-01-25 22:51:00,I003,FRIES,V003,P16,E204,1,6.0,6.0,0.0,
S00000003,2024-01-25 22:51:00,I009,COCKTAIL,V003,P16,E204,1,18.0,18.0,0.0,
S00000004,2024-01-18 18:32:00,I008,CANNED BEER,V010,P49,E073,1,12.0,6.0,6.0,BOGO_50
S00000004,2024-01-18 18:32:00,I006,WATER,V010,P49,E073,2,10.0,10.0,0.0,
S00000004,2024-01-18 18:32:00,I008,CANNED BEER,V010,P49,E073,1,12.0,12.0,0.0,
S00000004,2024-01-18 18:32:00,I001,HOT DOG,V010,P49,E073,2,17.0,17.0,0.0,
S00000005,2024-02-17 18:44:00,I012,ENERGY DRINK,V002,P21,E371,1,7.5,7.5,0.0,
S00000005,2024-02-17 18:44:00,I008,CANNED BEER,V002,P21,E371,1,12.0,10.0,2.0,PROMO_2_OFF
S00000006,2024-01-16 22:03:00,I006,WATER,V001,P41,E353,1,5.0,2.5,2.5,BOGO_50
S00000007,2024-02-29 19:55:00,I010,CHICKEN TENDERS,V001,P16,E367,1,13.5,13.5,0.0,
S00000007,2024-02-29 19:55:00,I011,NACHOS,V001,P16,E367,1,10.0,10.0,0.0,
S00000007,2024-02-29 19:55:00,I010,CHICKEN TENDERS,V001,P16,E367,1,13.5,13.5,0.0,
